Designator,Mid X,Mid Y,Rotation,Layer
C1,250.444,-72.136,270.0,top
C2,72.39,-72.096,270.0,top
C3,299.72,-72.136,270.0,top
C4,132.3789,-69.596,0.0,top
D1,287.274,-73.406,270.0,top
D10,340.106,-73.406,270.0,top
D11,343.154,-73.406,270.0,top
D12,346.202,-73.406,270.0,top
D13,349.25,-73.406,270.0,top
D14,123.698,-73.406,270.0,top
D15,127.0,-73.406,270.0,top
D18,138.176,-73.406,90.0,top
D19,161.29,-73.406,90.0,top
D2,290.322,-73.406,270.0,top
D20,141.478,-73.406,90.0,top
D21,157.988,-73.406,90.0,top
D22,144.78,-73.406,90.0,top
D23,154.686,-73.406,90.0,top
D24,148.082,-73.406,90.0,top
D25,151.384,-73.406,90.0,top
D26,215.392,-73.406,270.0,top
D27,228.6,-73.406,270.0,top
D28,218.694,-73.406,270.0,top
D29,231.902,-73.406,270.0,top
D3,293.37,-73.406,270.0,top
D30,221.996,-73.406,270.0,top
D31,225.298,-73.406,270.0,top
D4,296.418,-73.406,270.0,top
D5,110.49,-73.406,270.0,top
D6,113.792,-73.406,270.0,top
D7,120.396,-73.406,270.0,top
D8,117.094,-73.406,270.0,top
D9,337.058,-73.406,270.0,top
J1,241.046,-76.2,90.0,top
JKBD1,182.372,-75.692,90.0,top
K1,291.846,-163.518,0.0,top
K10,272.288,-144.468,0.0,top
K101,109.982,-147.4155,0.0,top
K103,198.628,-166.4805,0.0,top
K11,319.786,-106.368,0.0,top
K12,110.236,-106.368,0.0,top
K2,310.896,-163.518,0.0,top
K200,70.866,-144.468,0.0,top
K201,301.244,-147.4155,0.0,top
K203,138.938,-144.468,0.0,top
K204,157.988,-144.468,0.0,top
K205,177.038,-144.468,0.0,top
K206,196.088,-144.468,0.0,top
K207,215.138,-144.468,0.0,top
K208,234.188,-144.468,0.0,top
K209,253.238,-144.468,0.0,top
K211,349.504,-144.468,0.0,top
K3,102.87,-163.518,0.0,top
K300,70.866,-125.418,0.0,top
K302,134.112,-125.418,0.0,top
K303,153.162,-125.418,0.0,top
K304,172.212,-125.418,0.0,top
K305,191.262,-125.418,0.0,top
K306,210.312,-125.418,0.0,top
K307,229.362,-125.418,0.0,top
K308,248.412,-125.418,0.0,top
K309,267.462,-125.418,0.0,top
K310,286.512,-125.418,0.0,top
K311,312.928,-125.418,0.0,top
K313,349.504,-125.418,0.0,top
K4,126.746,-163.518,0.0,top
K400,70.866,-106.368,0.0,top
K402,129.286,-106.368,0.0,top
K403,148.336,-106.368,0.0,top
K404,167.386,-106.368,0.0,top
K405,186.436,-106.368,0.0,top
K406,205.486,-106.368,0.0,top
K407,224.536,-106.368,0.0,top
K408,243.586,-106.368,0.0,top
K409,262.636,-106.368,0.0,top
K410,281.686,-106.368,0.0,top
K411,300.736,-106.368,0.0,top
K412,349.504,-106.368,0.0,top
K5,102.87,-87.318,0.0,top
K500,70.866,-87.318,0.0,top
K502,124.4149,-87.318,0.0,top
K503,143.4649,-87.318,0.0,top
K504,162.5149,-87.318,0.0,top
K505,181.5649,-87.318,0.0,top
K506,200.6149,-87.318,0.0,top
K507,219.6649,-87.318,0.0,top
K508,238.7149,-87.318,0.0,top
K509,257.7649,-87.318,0.0,top
K510,276.8149,-87.318,0.0,top
K511,295.8649,-87.318,0.0,top
K513,349.504,-87.318,0.0,top
K6,112.522,-125.418,0.0,top
K7,317.754,-87.318,0.0,top
K9,270.256,-163.518,0.0,top
R1,273.304,-73.406,90.0,top
R10,326.644,-73.406,270.0,top
R11,330.2,-73.406,90.0,top
R12,333.756,-73.406,270.0,top
R2,276.86,-73.406,90.0,top
R3,280.416,-73.406,90.0,top
R4,283.972,-73.406,90.0,top
R5,95.504,-73.406,90.0,top
R6,99.314,-73.406,90.0,top
R7,103.124,-73.406,90.0,top
R8,106.934,-73.406,90.0,top
R9,323.088,-73.406,270.0,top
U1,261.874,-73.406,90.0,top
U2,83.82,-73.406,90.0,top
U3,311.15,-73.406,90.0,top
